[1201/095746.179:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1201/114401.593:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1201/114404.055:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1201/114406.628:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1201/114409.093:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1201/114415.762:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1201/132529.726:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1201/132533.812:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1201/132534.757:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1201/132535.810:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1201/132536.844:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
